username;user_id;location;address;latitude;longitude;;;;;;;;;;;;;;;;;;;;
balitbanghub151;3610194613.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
dibbbbbbbbbbb;524879502.0;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.18233995;106.8428715;;;;;;;;;;;;;;;;;;;;
cagubnyinyir2;1.01e+18;Palembang,Sumsel,Indonesia;Palembang, Sumatera Selatan;-2.9888297;104.756857;;;;;;;;;;;;;;;;;;;;
balitbanghub151;3610194613.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
kholiq486;9.4e+17;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
sugengwahyudi03;85757826.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
mamat_sura;9.52e+17;Kalimantan Tengah, Indonesia;Kalimantan Tengah, Indonesia;-1.499583;113.2903307;;;;;;;;;;;;;;;;;;;;
CimahiGarbi;1.06e+18;Malang,JawaTimur;Malang, Jawa Timur, Indonesia;-8.10479815;112.6879872;;;;;;;;;;;;;;;;;;;;
balitbanghub151;3610194613.0;MNCNewsCenterLt.11Jakarta;iNews Tower, Jalan Kebon Sirih Jakarta;-6.1849205;106.8308589;;;;;;;;;;;;;;;;;;;;
YokoSetyoso;332300097.0;Bogor,JawaBarat;Bogor, Jawa Barat, 16121, Indonesia;-6.5962986;106.7972421;;;;;;;;;;;;;;;;;;;;
dibbbbbbbbbbb;524879502.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
cagubnyinyir2;1.01e+18;BalikpapanTengah,Indonesia;BalikpapanTengah,Indonesia;-1.2452915;116.8505397;;;;;;;;;;;;;;;;;;;;
balitbanghub151;3610194613.0;GrahaPena,KebayoranLama12;Graha Pena, Jalan Tanah Baru V, RW 04, Sukabumi Utara, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta, 12210, Indonesia;-6.2150741;106.7777897;;;;;;;;;;;;;;;;;;;;
mauritsjelek;7.15e+17;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
Geegeehn1;9.86e+17;Bekasi,JawaBarat;Bekasi, Jawa Barat, 17144, Indonesia;-6.2349858;106.9945444;;;;;;;;;;;;;;;;;;;;
Anti_KADRUN;2963528849.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
ANTARASumsel;406921837.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
mauritsjelek;7.15e+17;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
Geegeehn1;9.86e+17;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
newsmerahputih;2714869507.0;Balikpapan, Indonesia;Balikpapan, Kalimantan Timur, 76128, Indonesia;-1.2398711;116.8593379;;;;;;;;;;;;;;;;;;;;
setda_kalteng;9.18e+17;Kalimantan Tengah, Indonesia;Kalimantan Tengah, Indonesia;-1.499583;113.2903307;;;;;;;;;;;;;;;;;;;;
ndablekngenoh;9.94e+17;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
SeputariNews;132078023.0;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.18233995;106.8428715;;;;;;;;;;;;;;;;;;;;
KompasData;771030588.0;cianjurjawabarat;Cianjur, Jawa Barat;-6.824096;107.1374006;;;;;;;;;;;;;;;;;;;;
elang33959034;1.11e+18;Jepara;Jepara, Jawa Tengah;-6.5906502;110.6673202;;;;;;;;;;;;;;;;;;;;
RakyatMerdeka99;7.12e+17;Bandung,JawaBarat;Bandung, Jawa Barat, 40252, Indonesia;-6.9344694;107.6049539;;;;;;;;;;;;;;;;;;;;
NounaTalisy;2166144630.0;iNews Tower Lantai10;iNews Tower, Jalan Kebon Sirih Jakarta;-6.1849205;106.8308589;;;;;;;;;;;;;;;;;;;;
AchmadHelmi19;1.17e+18;KotaYogyakarta,Yogyakarta;Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia;-7.8011945;110.364917;;;;;;;;;;;;;;;;;;;;
SeputariNews;132078023.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
BUNGJAH13;1.17e+18;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
KompasData;771030588.0;Yogyakarta;Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia;-7.8011945;110.364917;;;;;;;;;;;;;;;;;;;;
Aarpeceh;560699846.0;Jakarta Barat, DKI Jakarta;Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.16156235;106.7438912;;;;;;;;;;;;;;;;;;;;
RakyatMerdeka99;7.12e+17;Balikpapan,Indonesia;Balikpapan, Kalimantan Timur, 76128, Indonesia;-1.2398711;116.8593379;;;;;;;;;;;;;;;;;;;;
NounaTalisy;2166144630.0;Bandung,JawaBarat;Bandung, Jawa Barat, 40252, Indonesia;-6.9344694;107.6049539;;;;;;;;;;;;;;;;;;;;
AchmadHelmi19;1.17e+18;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.18233995;106.8428715;;;;;;;;;;;;;;;;;;;;
Metro_TV;57261519.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
yudhabjnugroho;127182239.0;Yogyakarta;Kota Yogyakarta, Daerah Istimewa Yogyakarta, Indonesia;-7.8011945;110.364917;;;;;;;;;;;;;;;;;;;;
notbuzzer;158278197.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
jpnncom;79130206.0;Jawa Timur,Indonesia;Jawa Timur;-7.6977397;112.4914199;;;;;;;;;;;;;;;;;;;;
BNews_Borneo;3028511053.0;Batam,Indonesia;Batam, Kepulauan Riau, Indonesia;1.1061034;104.0378246;;;;;;;;;;;;;;;;;;;;
IpungLombok;86233947.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
Rubby63275173;1.15e+18;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
Iradiojakarta;73102464.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
Kristiantoid;1.03e+18;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
newsmerahputih;2714869507.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
indozonemedia;350668803.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
IpungLombok;86233947.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
Iradiojakarta;73102464.0;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.18233995;106.8428715;;;;;;;;;;;;;;;;;;;;
Kristiantoid;1.03e+18;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
MAsepDimyati1;9.55e+17;Makassar,Indonesia;Makassar ????, Galesong Selatan, Sulawesi Selatan, 90115, Indonesia;-5.1342962;119.4124282;;;;;;;;;;;;;;;;;;;;
SupyandiH;1.16e+18;Malang,JAWATIMUR,INDONESIA;Malang, Jawa Timur, Indonesia;-8.10479815;112.6879872;;;;;;;;;;;;;;;;;;;;
yusufammar_w;576755999.0;Kalimantan Tengah, Indonesia;Kalimantan Tengah, Indonesia;-1.499583;113.2903307;;;;;;;;;;;;;;;;;;;;
Azlasy;928840044.0;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.18233995;106.8428715;;;;;;;;;;;;;;;;;;;;
cagubnyinyir2;1.01e+18;Padang,sumaterabarat;Padang, Sumatera Barat;-0.9247587;100.3632561;;;;;;;;;;;;;;;;;;;;
DanielSentanu;9.52e+17;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
duansitorus;9.16e+17;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
OfficialRecrowd;1.08e+18;Jakarta selatan;Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Indonesia;-6.28381815;106.8048635;;;;;;;;;;;;;;;;;;;;
tribunkaltim;103551225.0;Kalimantan Timur;Kalimantan Timur, Indonesia;0.7884397;116.2419977;;;;;;;;;;;;;;;;;;;;
id_laundry;1.16e+18;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.18233995;106.8428715;;;;;;;;;;;;;;;;;;;;
HADI_GAM76;53261440.0;Kalimantan Timur,Indonesia;Kalimantan Timur, Indonesia;0.7884397;116.2419977;;;;;;;;;;;;;;;;;;;;
fathoonn;1.16e+18;banyuwangi,Jatim,Indonesia;Banyuwangi, Jawa Timur, Indonesia;-8.33277885;114.1416421;;;;;;;;;;;;;;;;;;;;
Ar_rum;62500965.0;Lampung,Indonesia;Lampung, Indonesia;-4.8555039;105.0272986;;;;;;;;;;;;;;;;;;;;
Resof85;7.43e+17;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
NARAjaTim;8.04e+17;JawaTengah,Indonesia;Jawa Tengah, Indonesia;-5.6259648;110.371649;;;;;;;;;;;;;;;;;;;;
refanardhy;1.1e+18;KalimantanKutaiKertanegara;Kalimantan Kutai Kertanegara;-0.423174;116.9814363;;;;;;;;;;;;;;;;;;;;
aldomabar;1008579596.0;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
OfficialRecrowd;1.08e+18;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-6.1753942;106.827183;;;;;;;;;;;;;;;;;;;;
Rifqira19065037;9.67e+17;VMG3bloki5no.8Bekasi;Bekasi, Jawa Barat, 17144, Indonesia;-6.2349858;106.9945444;;;;;;;;;;;;;;;;;;;;
silumanleupeut;1.06e+18;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-6.18233995;106.8428715;;;;;;;;;;;;;;;;;;;;
id_laundry;1.16e+18;KotaSurabaya,JawaTimur;Taman Balai Kota Surabaya, RW 05, Genteng, Ketabang, Genteng, Surabaya, Jawa Timur, 60272, Indonesia;-7.2600876;112.7468261;;;;;;;;;;;;;;;;;;;;
