position;username;user_id;title;text;highlighs;link;location;address;latitude;longitude
31;Nasution_eD;1.14e+18;DetikFinance;Nasabah asuransi jiwa WanaArtha Life melakukan aksi damai di depan Pengadilan Negeri Jakarta Pusat. Apa tuntutannya?;['WanaArtha Life'];https://mobile.twitter.com/detikfinance/status/1291608284298911744;Banten,Indonesia;Banten, Indonesia;-647.800.285;1.055.410.285
32;Gunarto55122771;1.1e+18;Voidotid;Manajemen PT Asuransi Jiwa Adisarana Wanaartha (WanaArtha Life) memastikan akan mengutamakan kepentingan nasabah atau pemegang polis.;['WanaArtha Life'];https://twitter.com/voidotid/status/1517652983491665920;Makassar,Indonesia;Makassar ????, Galesong Selatan, Sulawesi Selatan, 90115, Indonesia;-51.342.962;1.194.124.282
33;win_goes;1.15e+18;Evelina Pietruschka Buron, Kok Bisa Zoom Korban ...;Evelina Larasati Fadil Pietruschka, salah satu pemegang saham pemilik (PSP) Wanaartha Life kabarnya pernah menghadiri audiensi virtual · 1:18 AM · Feb 8, 2023. ·. 7,175. Views. 4. Reposts · 1. Quote.;['Wanaartha Life'];https://twitter.com/cnbcindonesia/status/1623129004629954563;Jakarta Barat, DKI Jakarta;Jakarta Barat, Daerah Khusus Ibukota Jakarta, Indonesia;-616.156.235;1.067.438.912
34;aquanakmama;1.1e+18;Buron Kasus Wanaartha Diduga Sembunyi di Beverly Hills ...;Buronan kasus WanaArtha Life, Evelina Fadil Pietruschka terindikasi bersembunyi di Beverly Hills, Amerika Serikat. 9:07 AM · Oct 13, 2023.;['WanaArtha Life'];https://twitter.com/cnbcindonesia/status/1712756922557042784;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
35;DamaiNegeriku1;1.14e+18;Chanra (@Chanra25111696) / X;Otoritas Jasa Keuangan (OJK) terus mengawal proses likuidasi dua perusahaan asuransi gagal bayar PT Asuransi Adisarana Wanaartha (Wanaartha Life). 2. 2.;['Wanaartha Life'];https://twitter.com/Chanra25111696;JakartaPusat,DKIJakarta;Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Indonesia;-618.233.995;1.068.428.715
36;Djams94471116;1.05e+18;kompas tv;Namun sejumlah korban PT WAL mempertanyakan nasibnya setelah izin usaha Wanaartha Life dicabut oleh OJK. Puluhan ribu korban yang juga ...;['Wanaartha Life'];https://twitter.com/KompasTV/status/1602584176582340608;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
37;BongBon93931084;1.08e+18;era2805 - Laksmi Merati;... com/GQ1cjo · Laksmi Merati · @era2805. ·. Sep 7, 2011. I'm at Graha WanaArtha Life (Mampang, Jl. Mampang Raya No. 76, Jakarta) http://4sq.com/oa0kC6.;['WanaArtha Life'];https://twitter.com/era2805;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
38;Nasution_eD;1.14e+18;YeniChubi - 卓俐妍;... , Nasabah Menjerit & Putus Asa. Nasabah PT Asuransi Jiwa Adisarana Wanaartha (Wanaartha Life/WAL) menjerit karena proses likuidasi terhambat, kok bisa?;['Wanaartha Life'];https://twitter.com/yenichubi;Makassar,Indonesia;Makassar ????, Galesong Selatan, Sulawesi Selatan, 90115, Indonesia;-51.342.962;1.194.124.282
39;win_goes;1.15e+18;Voidotid;Para pemegang polis atau nasabah PT Asuransi Jiwa Adisarana WanaArtha atau WanaArtha Life dan kalangan Dewan berharap agar persoalan ...;['WanaArtha Life'];https://twitter.com/voidotid/status/1509033338941878274;DKI Jakarta,Indonesia;Daerah Khusus Ibukota Jakarta, Indonesia;-61.753.942;106.827.183
40;aquanakmama;1.1e+18;Duh! Duit Karyawan INCO yang Nyangkut di Wanaartha ...;Duh! Duit Karyawan INCO yang Nyangkut di Wanaartha Rp 220 M. Korban Wanaartha Life kembali bertambah. 5:58 AM · Sep 7, 2022 · 1. Repost · 3. Quotes.;['Wanaartha Life'];https://twitter.com/cnbcindonesia/status/1567391872607490048;Bandung,JawaBarat;Bandung, Jawa Barat, 40252, Indonesia;-69.344.694;1.076.049.539
